0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:51:59 +0900] "GET /semiProject/drama HTTP/1.1" 200 44135
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:51:59 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:51:59 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:51:59 +0900] "GET /semiProject/img/blog/avatar/01.jpg HTTP/1.1" 200 7937
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:51:59 +0900] "GET /semiProject/img/blog/avatar/03.jpg HTTP/1.1" 200 9665
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:51:59 +0900] "GET /semiProject/img/blog/avatar/06.jpg HTTP/1.1" 200 9697
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:51:59 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:01 +0900] "GET /semiProject/musical HTTP/1.1" 200 36310
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:01 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:01 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:01 +0900] "GET /semiProject/img/demo/booking/musical-bg2.jpg HTTP/1.1" 200 153290
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:01 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:15 +0900] "GET /semiProject/musical HTTP/1.1" 200 36310
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:15 +0900] "GET /semiProject/vendor/simplebar/dist/simplebar.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:15 +0900] "GET /semiProject/vendor/tiny-slider/dist/tiny-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:15 +0900] "GET /semiProject/vendor/flatpickr/dist/flatpickr.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:15 +0900] "GET /semiProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:15 +0900] "GET /semiProject/css/theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:15 +0900] "GET /semiProject/dist/vendor/flatpickr/dist/flatpickr.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:15 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:15 +0900] "GET /semiProject/vendor/parallax-js/dist/parallax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:15 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:15 +0900] "GET /semiProject/vendor/imagesloaded/imagesloaded.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:15 +0900] "GET /semiProject/vendor/shufflejs/dist/shuffle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:15 +0900] "GET /semiProject/vendor/simplebar/dist/simplebar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:15 +0900] "GET /semiProject/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:15 +0900] "GET /semiProject/vendor/smooth-scroll/dist/smooth-scroll.polyfills.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:15 +0900] "GET /semiProject/img/demo/booking/musical-bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:15 +0900] "GET /semiProject/logo_ver3.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:16 +0900] "GET /semiProject/vendor/tiny-slider/dist/min/tiny-slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:16 +0900] "GET /semiProject/vendor/jarallax/dist/jarallax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:16 +0900] "GET /semiProject/vendor/flatpickr/dist/flatpickr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:16 +0900] "GET /semiProject/fonts/around-icons.ttf?enmnv5 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:16 +0900] "GET /semiProject/vendor/flatpickr/dist/plugins/rangePlugin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:16 +0900] "GET /semiProject/vendor/lightgallery.js/dist/js/lightgallery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:16 +0900] "GET /semiProject/js/theme.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:16 +0900] "GET /semiProject/vendor/lg-video.js/dist/lg-video.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:16 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:16 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:52:16 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
