0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:33 +0900] "GET /semiProject/showSelect?prfid=PF194254 HTTP/1.1" 200 42482
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:33 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:33 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:34 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:39 +0900] "GET /semiProject/main2 HTTP/1.1" 200 72150
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:39 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:39 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:39 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:41 +0900] "GET /semiProject/showSelect?prfid=PF191728 HTTP/1.1" 200 42637
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:41 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:41 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:36:42 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:39:00 +0900] "GET /semiProject/main2 HTTP/1.1" 200 71985
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:39:00 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:39:00 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:39:01 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:39:01 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:39:01 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:40:21 +0900] "GET /semiProject/main2 HTTP/1.1" 200 73076
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:40:21 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:40:21 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:40:21 +0900] "GET /semiProject/... HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:40:22 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:40:52 +0900] "GET /semiProject/main2 HTTP/1.1" 200 73086
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:40:52 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:40:52 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:40:52 +0900] "GET /semiProject/... HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:40:53 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:40:53 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:40:53 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:41:15 +0900] "GET /semiProject/main2 HTTP/1.1" 200 63643
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:41:15 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:41:15 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:41:15 +0900] "GET /semiProject/... HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:41:16 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:41:16 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:41:16 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:41:42 +0900] "GET /semiProject/main2 HTTP/1.1" 200 72162
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:41:42 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:41:42 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:41:43 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:41:43 +0900] "GET /semiProject/favicon-32x32.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Aug/2022:15:41:43 +0900] "GET /semiProject/favicon-16x16.png HTTP/1.1" 404 840
